SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
20-00078053,"1400 S DENLEY DR, DALLAS, TX, 75216",4,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,02/07/2020 07:10:54 AM,Closed,01/24/2020 07:10:54 AM,01/24/2020 07:13:37 AM,01/24/2020 07:10:54 AM,Work Completed,Standard,Proactive,"(32.73134179554362000,-96.80533227733630000)",500t000000R3ZQJAA3
20-00084505,"3106 ROCKBLUFF DR, DALLAS, TX, 75227",5,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/07/2020 11:59:00 PM,In Progress,01/26/2020 10:50:04 AM,01/27/2020 07:14:48 AM,01/26/2020 10:50:04 AM,,Standard,API,"(32.76456354581933500,-96.69393537485429000)",500t000000R3mSfAAJ
20-00089410,"15467 WOODBRIAR DR, DALLAS, TX, 75248",11,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/14/2020 11:59:00 PM,In Progress (Duplicate),01/27/2020 06:22:22 PM,01/27/2020 06:22:31 PM,01/27/2020 06:22:22 PM,,Standard,API,"(32.95930417630238000,-96.79625923532355000)",500t000000R3yWZAAZ
20-00089587,"4300 LEMMON AVE, DALLAS, TX, 75219",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,02/10/2020 09:06:58 PM,New,01/27/2020 09:06:58 PM,01/27/2020 09:07:05 PM,01/27/2020 09:06:58 PM,,Standard,Phone,"(32.81700817786031600,-96.81119803777080000)",500t000000R3z2pAAB
20-00078054,"N JIM MILLER RD & SECO BLVD, DALLAS, TX, 75217",5,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,02/07/2020 07:12:10 AM,Closed,01/24/2020 07:12:10 AM,01/24/2020 07:15:15 AM,01/24/2020 07:12:10 AM,Work Completed,Standard,Proactive,"(32.73822209066488000,-96.70024031418528000)",500t000000R3ZQnAAN
20-00080509,"825 EXPOSITION AVE, DALLAS, TX, 75226",7,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/07/2020 11:59:00 PM,Closed,01/24/2020 01:18:05 PM,01/27/2020 06:21:08 AM,01/24/2020 01:18:05 PM,Work Completed,Standard,Phone,"(32.78237967176918000,-96.76768141940366000)",500t000000R3elgAAB
20-00089588,"1138 S TYLER ST, DALLAS, TX, 75208",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,02/10/2020 09:07:08 PM,New,01/27/2020 09:07:08 PM,01/27/2020 09:07:18 PM,01/27/2020 09:07:08 PM,,Standard,API,"(32.73458055957533500,-96.83743429560200000)",500t000000R3z2zAAB
20-00084536,"2141 S WESTMORELAND RD, DALLAS, TX, 75211",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/07/2020 11:59:00 PM,In Progress,01/26/2020 11:00:00 AM,01/27/2020 07:15:27 AM,01/26/2020 11:00:00 AM,,Standard,API,"(32.72389605415213000,-96.87454932695100000)",500t000000R3mVZAAZ
20-00072762,"4502 FALLS DR, DALLAS, TX, 75211",3,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/05/2020 11:59:00 PM,Closed,01/22/2020 04:55:43 PM,01/28/2020 01:23:02 PM,01/22/2020 04:55:43 PM,Work Completed,Standard,API,"(32.72639278911938000,-96.89510235277221000)",500t000000R3LjbAAF
20-00084292,"682 PRAIRIE AVE, DALLAS, TX, 75246",2,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,02/07/2020 11:59:00 PM,Closed,01/26/2020 08:20:51 AM,01/28/2020 01:06:15 PM,01/26/2020 08:20:51 AM,Work Completed,Standard,API,"(32.79811881673867000,-96.76939170391101000)",500t000000R3m8LAAR
